CODIGO_INST,COHORTE,SEXO,NIVEL_ED_PADRE,NIVEL_ED_MADRE,ANOS_REPITIO,ESTRATO_ACTUAL,INGRESOS,TIPO_PLANTEL,ZONA_LUGAR_RESIDENCIA,SISBEN,URBANA_SISBEN,RURAL_SISBEN,PMATN,PINGN,PCRIN,PCIUN,PNATN,VIVE_CON,SITUACION_PADRES,sexo,nivel_edu_padre,nivel_edu_madre,nivel_edu_max_padres,repitio_escolar,estrato,icfes_mat,icfes_ing,icfes_lec,icfes_soc,icfes_nat,icfes_total,tipo_plantel,zona_rural,log_ingresos,sisben_nivel,vive_con,situacion_padres,cohorte_encoded,prom_sem1,PROMEDIO_CARRERA,graduado,rendimiento_bajo
160004000,2017-2,F,,5.0,N,2,14400000,G,U,S,0,2,57.0,55.0,63.0,65.0,62.0,1.0,1.0,0,0,4,4,0,2,57.0,55.0,63.0,65.0,62.0,302.0,0,0,16.48273883399067,2,1,1,0,3.7,3.7,0,0
160004001,2017-2,M,2.0,3.0,N,1,9600000,G,U,S,1,0,68.0,64.0,58.0,52.0,56.0,2.0,1.0,1,1,2,2,0,1,68.0,64.0,58.0,52.0,56.0,298.0,0,0,16.077273760604726,1,2,1,0,4.2,2.9,0,1
160004002,2017-2,M,,5.0,N,2,9600000,P,U,S,1,0,62.0,56.0,65.0,64.0,58.0,1.0,1.0,1,0,4,4,0,2,62.0,56.0,65.0,64.0,58.0,305.0,1,0,16.077273760604726,1,1,1,0,4.0,2.6,0,1
160004003,2017-2,M,5.0,5.0,N,2,26924520,P,U,N,0,0,62.0,67.0,62.0,51.0,60.0,1.0,2.0,1,4,4,4,0,2,62.0,67.0,62.0,51.0,60.0,302.0,1,0,17.108547990690635,0,1,2,0,3.6,2.7,0,1
160004004,2017-2,M,2.0,5.0,N,1,8686075,P,U,N,0,0,59.0,48.0,49.0,49.0,47.0,2.0,1.0,1,1,4,4,0,1,59.0,48.0,49.0,49.0,47.0,252.0,1,0,15.977231841750806,0,2,1,0,3.7,3.6,1,0
160004005,2017-2,M,,12.0,N,2,15648000,P,U,S,1,0,60.0,58.0,57.0,68.0,65.0,1.0,1.0,1,0,10,10,0,2,60.0,58.0,57.0,68.0,65.0,308.0,1,0,16.565853735162666,1,1,1,0,3.7,3.5,1,0
160004006,2017-2,M,5.0,5.0,S,1,14400000,G,R,S,0,2,61.0,53.0,65.0,58.0,58.0,1.0,2.0,1,4,4,4,1,1,61.0,53.0,65.0,58.0,58.0,295.0,0,1,16.48273883399067,2,1,2,0,3.1,2.9,0,1
160004007,2017-2,M,8.0,,S,1,8280000,G,U,S,1,0,65.0,57.0,58.0,54.0,60.0,3.0,1.0,1,6,0,6,1,1,65.0,57.0,58.0,54.0,60.0,294.0,0,0,15.929353647134382,1,3,1,0,0.9,0.9,0,1
160004008,2017-2,M,14.0,14.0,N,3,14400000,P,U,N,0,0,67.0,66.0,66.0,72.0,66.0,1.0,2.0,1,12,12,12,0,3,67.0,66.0,66.0,72.0,66.0,337.0,1,0,16.48273883399067,0,1,2,0,3.8,3.8,1,0
160004009,2017-2,M,5.0,12.0,S,3,20614400,P,U,S,4,0,57.0,68.0,66.0,69.0,64.0,1.0,2.0,1,4,10,10,1,3,57.0,68.0,66.0,69.0,64.0,324.0,1,0,16.84150046718874,4,1,2,0,3.5,,0,0
